ano;mes_numero;mes;total_eletrificados
2020;1;janeiro;1568
2020;2;fevereiro;2053
2020;3;marco;1570
2020;4;abril;442
2020;5;maio;601
2020;6;junho;1334
2020;7;julho;1668
2020;8;agosto;1943
2020;9;setembro;2113
2020;10;outubro;2273
2020;11;novembro;2231
2020;12;dezembro;1949
2021;1;janeiro;1321
2021;2;fevereiro;1389
2021;3;marco;1872
2021;4;abril;2708
2021;5;maio;3102
2021;6;junho;3507
2021;7;julho;3625
2021;8;agosto;3873
2021;9;setembro;2756
2021;10;outubro;2787
2021;11;novembro;3505
2021;12;dezembro;4545
2022;1;janeiro;2558
2022;2;fevereiro;3435
2022;3;marco;3851
2022;4;abril;3123
2022;5;maio;3387
2022;6;junho;4073
2022;7;julho;3136
2022;8;agosto;4249
2022;9;setembro;6391
2022;10;outubro;4460
2022;11;novembro;4995
2022;12;dezembro;5587
2023;1;janeiro;4503
2023;2;fevereiro;4294
2023;3;marco;5989
2023;4;abril;4793
2023;5;maio;6435
2023;6;junho;6225
2023;7;julho;7462
2023;8;agosto;9351
2023;9;setembro;8458
2023;10;outubro;9537
2023;11;novembro;10601
2023;12;dezembro;16279
2024;1;janeiro;12026
2024;2;fevereiro;10451
2024;3;marco;13613
2024;4;abril;15206
2024;5;maio;13612
2024;6;junho;14396
2024;7;julho;15312
2024;8;agosto;14667
2024;9;setembro;13265
2024;10;outubro;16033
2024;11;novembro;17143
2024;12;dezembro;21634
