ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORTE;AC;ETANOL;1200013;ACRELANDIA;40000
2020;REGIÃO NORTE;AC;ETANOL;1200054;ASSIS BRASIL;34600
2020;REGIÃO NORTE;AC;ETANOL;1200104;BRASILEIA;200394
2020;REGIÃO NORTE;AC;ETANOL;1200138;BUJARI;10000
2020;REGIÃO NORTE;AC;ETANOL;1200179;CAPIXABA;75000
2020;REGIÃO NORTE;AC;ETANOL;1200203;CRUZEIRO DO SUL;216713
2020;REGIÃO NORTE;AC;ETANOL;1200252;EPITACIOLANDIA;204315
2020;REGIÃO NORTE;AC;ETANOL;1200302;FEIJO;40000
2020;REGIÃO NORTE;AC;ETANOL;1200336;MANCIO LIMA;10000
2020;REGIÃO NORTE;AC;ETANOL;1200344;MANOEL URBANO;20000
2020;REGIÃO NORTE;AC;ETANOL;1200401;RIO BRANCO;5010000
2020;REGIÃO NORTE;AC;ETANOL;1200450;SENADOR GUIOMARD;493120
2020;REGIÃO NORTE;AC;ETANOL;1200500;SENA MADUREIRA;118000
2020;REGIÃO NORTE;AC;ETANOL;1200708;XAPURI;69644
2020;REGIÃO NORDESTE;AL;ETANOL;2700102;AGUA BRANCA;35000
2020;REGIÃO NORDESTE;AL;ETANOL;2700201;ANADIA;50000
2020;REGIÃO NORDESTE;AL;ETANOL;2700300;ARAPIRACA;5247899
2020;REGIÃO NORDESTE;AL;ETANOL;2700409;ATALAIA;922147
2020;REGIÃO NORDESTE;AL;ETANOL;2700607;BARRA DE SAO MIGUEL;364877
2020;REGIÃO NORDESTE;AL;ETANOL;2700706;BATALHA;268000
2020;REGIÃO NORDESTE;AL;ETANOL;2700805;BELEM;10000
2020;REGIÃO NORDESTE;AL;ETANOL;2701001;BOCA DA MATA;262500
2020;REGIÃO NORDESTE;AL;ETANOL;2701209;CACIMBINHAS;111500
2020;REGIÃO NORDESTE;AL;ETANOL;2701308;CAJUEIRO;120702
2020;REGIÃO NORDESTE;AL;ETANOL;2701357;CAMPESTRE;15000
2020;REGIÃO NORDESTE;AL;ETANOL;2701407;CAMPO ALEGRE;628185
2020;REGIÃO NORDESTE;AL;ETANOL;2701605;CANAPI;89885
