ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORTE;AC;GASOLINA C;1200013;ACRELANDIA;2123300
2020;REGIÃO NORTE;AC;GASOLINA C;1200054;ASSIS BRASIL;1000000
2020;REGIÃO NORTE;AC;GASOLINA C;1200104;BRASILEIA;3781000
2020;REGIÃO NORTE;AC;GASOLINA C;1200138;BUJARI;1031700
2020;REGIÃO NORTE;AC;GASOLINA C;1200179;CAPIXABA;2494000
2020;REGIÃO NORTE;AC;GASOLINA C;1200203;CRUZEIRO DO SUL;14275000
2020;REGIÃO NORTE;AC;GASOLINA C;1200252;EPITACIOLANDIA;3565000
2020;REGIÃO NORTE;AC;GASOLINA C;1200302;FEIJO;2609000
2020;REGIÃO NORTE;AC;GASOLINA C;1200328;JORDAO;110000
2020;REGIÃO NORTE;AC;GASOLINA C;1200336;MANCIO LIMA;1946000
2020;REGIÃO NORTE;AC;GASOLINA C;1200344;MANOEL URBANO;1849000
2020;REGIÃO NORTE;AC;GASOLINA C;1200351;MARECHAL THAUMATURGO;1475000
2020;REGIÃO NORTE;AC;GASOLINA C;1200385;PLACIDO DE CASTRO;1403500
2020;REGIÃO NORTE;AC;GASOLINA C;1200807;PORTO ACRE;2396000
2020;REGIÃO NORTE;AC;GASOLINA C;1200393;PORTO WALTER;777000
2020;REGIÃO NORTE;AC;GASOLINA C;1200401;RIO BRANCO;78599180
2020;REGIÃO NORTE;AC;GASOLINA C;1200427;RODRIGUES ALVES;940000
2020;REGIÃO NORTE;AC;GASOLINA C;1200435;SANTA ROSA DO PURUS;460000
2020;REGIÃO NORTE;AC;GASOLINA C;1200500;SENA MADUREIRA;4625100
2020;REGIÃO NORTE;AC;GASOLINA C;1200450;SENADOR GUIOMARD;4882943
2020;REGIÃO NORTE;AC;GASOLINA C;1200609;TARAUACA;4305000
2020;REGIÃO NORTE;AC;GASOLINA C;1200708;XAPURI;1770000
2020;REGIÃO NORDESTE;AL;GASOLINA C;2700102;AGUA BRANCA;1383500
2020;REGIÃO NORDESTE;AL;GASOLINA C;2700201;ANADIA;960000
