Ano;Mês;Distribuidor;Código do Produto;Nome do Produto;Região;Quantidade de Produto (mil m³)
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;320101001;Gasolina A;SE;19,75
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;420102004;Diesel A;SE;2,75
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;420105001;Diesel A;SE;7,15
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;420201001;Diesel A;SE;6,33
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;810101001;EHC;CO;2,289479
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;810101001;EHC;SE;2,050594
2024;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;810102004;EAC;SE;0,813963
2024;1;ACAI PETROLEO MATO GROSSO LTDA;810101001;EHC;CO;0,131386
2024;1;AGILE LOGISTICA E DISTRIBUIÇÃO DE COMBUSTÍVEIS LTDA;320101001;Gasolina A;SE;0,349559
2024;1;AGILE LOGISTICA E DISTRIBUIÇÃO DE COMBUSTÍVEIS LTDA;420102004;Diesel A;SE;0,296038
2024;1;AGILE LOGISTICA E DISTRIBUIÇÃO DE COMBUSTÍVEIS LTDA;420105001;Diesel A;SE;0,298651
2024;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;320101001;Gasolina A;CO;1,505238
2024;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420102004;Diesel A;CO;0,929008
2024;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420105001;Diesel A;CO;0,898851
2024;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810101001;EHC;CO;1,8181
2024;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810102004;EAC;CO;0,755836
2024;1;ALE COMBUSTIVEIS S.A.;320101001;Gasolina A;CO;3,516943
2024;1;ALE COMBUSTIVEIS S.A.;320101001;Gasolina A;N;0,738049
2024;1;ALE COMBUSTIVEIS S.A.;320101001;Gasolina A;NE;15,148545
2024;1;ALE COMBUSTIVEIS S.A.;320101001;Gasolina A;S;9,495693
2024;1;ALE COMBUSTIVEIS S.A.;320101001;Gasolina A;SE;40,190235
2024;1;ALE COMBUSTIVEIS S.A.;420102004;Diesel A;CO;1,572836
2024;1;ALE COMBUSTIVEIS S.A.;420102004;Diesel A;N;0,353296
2024;1;ALE COMBUSTIVEIS S.A.;420102004;Diesel A;NE;6,221381
2024;1;ALE COMBUSTIVEIS S.A.;420102004;Diesel A;S;3,134489
2024;1;ALE COMBUSTIVEIS S.A.;420102004;Diesel A;SE;14,773186
2024;1;ALE COMBUSTIVEIS S.A.;420105001;Diesel A;CO;5,684722
2024;1;ALE COMBUSTIVEIS S.A.;420105001;Diesel A;N;1,229437
2024;1;ALE COMBUSTIVEIS S.A.;420105001;Diesel A;NE;13,932354
2024;1;ALE COMBUSTIVEIS S.A.;420105001;Diesel A;S;3,81201
2024;1;ALE COMBUSTIVEIS S.A.;420105001;Diesel A;SE;21,999008
2024;1;ALE COMBUSTIVEIS S.A.;420201001;Diesel A;S;1,692685
2024;1;ALE COMBUSTIVEIS S.A.;420201001;Diesel A;SE;5,987235
2024;1;ALE COMBUSTIVEIS S.A.;810101001;EHC;CO;8,337382
2024;1;ALE COMBUSTIVEIS S.A.;810101001;EHC;NE;2,191131
2024;1;ALE COMBUSTIVEIS S.A.;810101001;EHC;S;0,106535
2024;1;ALE COMBUSTIVEIS S.A.;810101001;EHC;SE;20,331589
2024;1;ALE COMBUSTIVEIS S.A.;810102004;EAC;CO;3,85149
2024;1;ALE COMBUSTIVEIS S.A.;810102004;EAC;N;0,728941
2024;1;ALE COMBUSTIVEIS S.A.;810102004;EAC;NE;2,811014
2024;1;ALE COMBUSTIVEIS S.A.;810102004;EAC;S;0,513329
2024;1;ALE COMBUSTIVEIS S.A.;810102004;EAC;SE;16,736027
2024;1;ALFA DISTRIBUIDORA DE PETRÓLEO LTDA.;420102004;Diesel A;SE;0,065387
2024;1;ALFA DISTRIBUIDORA DE PETRÓLEO LTDA.;420105001;Diesel A;SE;0,21986
2024;1;ALFA DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;CO;10,402373
2024;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;420102004;Diesel A;SE;0,09961
2024;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;810101001;EHC;CO;2,684587
2024;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;810101001;EHC;SE;6,568894
2024;1;ALLGREEN DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810101001;EHC;NE;1,969613
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;420105001;Diesel A;S;23,182781
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;CO;19,743447
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;N;0,72306
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;S;39,686489
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;SE;11,096195
2024;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810102004;EAC;CO;0,247414
2024;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;320101001;Gasolina A;S;2,347444
2024;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;420102004;Diesel A;S;1,138506
2024;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;420105001;Diesel A;S;1,530971
